agent_name,model,priming,round,balance
Agent-1,openai,neutral,0,1000
Agent-10,claude,neutral,0,1000
Agent-11,openai,neutral,0,1000
Agent-12,claude,neutral,0,1000
Agent-13,openai,neutral,0,1000
Agent-14,claude,neutral,0,1000
Agent-15,openai,neutral,0,1000
Agent-16,claude,neutral,0,1000
Agent-2,openai,neutral,0,1000
Agent-3,openai,neutral,0,1000
Agent-4,openai,neutral,0,1000
Agent-5,claude,neutral,0,1000
Agent-6,claude,neutral,0,1000
Agent-7,claude,neutral,0,1000
Agent-8,openai,neutral,0,1000
Agent-9,claude,neutral,0,1000
Agent-1,openai,neutral,1,1000
Agent-10,claude,neutral,1,1000
Agent-11,openai,neutral,1,1000
Agent-12,claude,neutral,1,1000
Agent-13,openai,neutral,1,1000
Agent-14,claude,neutral,1,1000
Agent-15,openai,neutral,1,1000
Agent-16,claude,neutral,1,1000
Agent-2,openai,neutral,1,1000
Agent-3,openai,neutral,1,1000
Agent-4,openai,neutral,1,1000
Agent-5,claude,neutral,1,1000
Agent-6,claude,neutral,1,1000
Agent-7,claude,neutral,1,1000
Agent-8,openai,neutral,1,1000
Agent-9,claude,neutral,1,1000
Agent-1,openai,neutral,2,1000
Agent-10,claude,neutral,2,1000
Agent-11,openai,neutral,2,1000
Agent-12,claude,neutral,2,950
Agent-13,openai,neutral,2,1000
Agent-14,claude,neutral,2,1000
Agent-15,openai,neutral,2,1000
Agent-16,claude,neutral,2,1000
Agent-2,openai,neutral,2,1000
Agent-3,openai,neutral,2,1000
Agent-4,openai,neutral,2,1000
Agent-5,claude,neutral,2,1050
Agent-6,claude,neutral,2,1000
Agent-7,claude,neutral,2,1000
Agent-8,openai,neutral,2,1000
Agent-9,claude,neutral,2,1000
Agent-1,openai,neutral,3,1000
Agent-10,claude,neutral,3,1000
Agent-11,openai,neutral,3,1000
Agent-12,claude,neutral,3,1000
Agent-13,openai,neutral,3,1000
Agent-14,claude,neutral,3,950
Agent-15,openai,neutral,3,1000
Agent-16,claude,neutral,3,1000
Agent-2,openai,neutral,3,1000
Agent-3,openai,neutral,3,1000
Agent-4,openai,neutral,3,1000
Agent-5,claude,neutral,3,1000
Agent-6,claude,neutral,3,1000
Agent-7,claude,neutral,3,1050
Agent-8,openai,neutral,3,1000
Agent-9,claude,neutral,3,1000
Agent-1,openai,neutral,4,1000
Agent-10,claude,neutral,4,1000
Agent-11,openai,neutral,4,1000
Agent-12,claude,neutral,4,1100
Agent-13,openai,neutral,4,1000
Agent-14,claude,neutral,4,1010
Agent-15,openai,neutral,4,1000
Agent-16,claude,neutral,4,950
Agent-2,openai,neutral,4,1000
Agent-3,openai,neutral,4,1050
Agent-4,openai,neutral,4,1000
Agent-5,claude,neutral,4,940
Agent-6,claude,neutral,4,1000
Agent-7,claude,neutral,4,990
Agent-8,openai,neutral,4,960
Agent-9,claude,neutral,4,1000
Agent-1,openai,neutral,5,1000
Agent-10,claude,neutral,5,1000
Agent-11,openai,neutral,5,1000
Agent-12,claude,neutral,5,1160
Agent-13,openai,neutral,5,1000
Agent-14,claude,neutral,5,1070
Agent-15,openai,neutral,5,1000
Agent-16,claude,neutral,5,950
Agent-2,openai,neutral,5,1050
Agent-3,openai,neutral,5,1050
Agent-4,openai,neutral,5,1000
Agent-5,claude,neutral,5,880
Agent-6,claude,neutral,5,1000
Agent-7,claude,neutral,5,930
Agent-8,openai,neutral,5,960
Agent-9,claude,neutral,5,950
Agent-1,openai,neutral,6,1000
Agent-10,claude,neutral,6,1060
Agent-11,openai,neutral,6,1000
Agent-12,claude,neutral,6,1230
Agent-13,openai,neutral,6,1000
Agent-14,claude,neutral,6,1130
Agent-15,openai,neutral,6,1000
Agent-16,claude,neutral,6,950
Agent-2,openai,neutral,6,1100
Agent-3,openai,neutral,6,990
Agent-4,openai,neutral,6,1000
Agent-5,claude,neutral,6,860
Agent-6,claude,neutral,6,950
Agent-7,claude,neutral,6,870
Agent-8,openai,neutral,6,960
Agent-9,claude,neutral,6,900
Agent-1,openai,neutral,7,1000
Agent-10,claude,neutral,7,1170
Agent-11,openai,neutral,7,1000
Agent-12,claude,neutral,7,1150
Agent-13,openai,neutral,7,1000
Agent-14,claude,neutral,7,1130
Agent-15,openai,neutral,7,1000
Agent-16,claude,neutral,7,900
Agent-2,openai,neutral,7,1100
Agent-3,openai,neutral,7,930
Agent-4,openai,neutral,7,1000
Agent-5,claude,neutral,7,880
Agent-6,claude,neutral,7,1010
Agent-7,claude,neutral,7,870
Agent-8,openai,neutral,7,960
Agent-9,claude,neutral,7,900
Agent-1,openai,neutral,8,1000
Agent-10,claude,neutral,8,1170
Agent-11,openai,neutral,8,950
Agent-12,claude,neutral,8,1100
Agent-13,openai,neutral,8,1000
Agent-14,claude,neutral,8,1140
Agent-15,openai,neutral,8,1000
Agent-16,claude,neutral,8,900
Agent-2,openai,neutral,8,1040
Agent-3,openai,neutral,8,930
Agent-4,openai,neutral,8,1000
Agent-5,claude,neutral,8,920
Agent-6,claude,neutral,8,1120
