agent_name,model,priming,round,balance
Agent-1,openai,neutral,0,1000
Agent-10,claude,competitive,0,1000
Agent-11,openai,strategic,0,1000
Agent-12,openai,competitive,0,1000
Agent-13,openai,cooperative,0,1000
Agent-14,openai,cooperative,0,1000
Agent-15,claude,cooperative,0,1000
Agent-16,openai,competitive,0,1000
Agent-2,openai,strategic,0,1000
Agent-3,claude,neutral,0,1000
Agent-4,claude,cooperative,0,1000
Agent-5,claude,competitive,0,1000
Agent-6,openai,neutral,0,1000
Agent-7,claude,neutral,0,1000
Agent-8,claude,strategic,0,1000
Agent-9,claude,strategic,0,1000
Agent-1,openai,neutral,1,1000
Agent-10,claude,competitive,1,1000
Agent-11,openai,strategic,1,1000
Agent-12,openai,competitive,1,1000
Agent-13,openai,cooperative,1,1000
Agent-14,openai,cooperative,1,1000
Agent-15,claude,cooperative,1,1000
Agent-16,openai,competitive,1,1000
Agent-2,openai,strategic,1,1000
Agent-3,claude,neutral,1,1000
Agent-4,claude,cooperative,1,1000
Agent-5,claude,competitive,1,1000
Agent-6,openai,neutral,1,1000
Agent-7,claude,neutral,1,1000
Agent-8,claude,strategic,1,1000
Agent-9,claude,strategic,1,1000
Agent-1,openai,neutral,2,1000
Agent-10,claude,competitive,2,1000
Agent-11,openai,strategic,2,1000
Agent-12,openai,competitive,2,1000
Agent-13,openai,cooperative,2,1000
Agent-14,openai,cooperative,2,1000
Agent-15,claude,cooperative,2,1000
Agent-16,openai,competitive,2,1000
Agent-2,openai,strategic,2,1000
Agent-3,claude,neutral,2,1000
Agent-4,claude,cooperative,2,1000
Agent-5,claude,competitive,2,1000
Agent-6,openai,neutral,2,1000
Agent-7,claude,neutral,2,1000
Agent-8,claude,strategic,2,1000
Agent-9,claude,strategic,2,1000
Agent-1,openai,neutral,3,1000
Agent-10,claude,competitive,3,1000
Agent-11,openai,strategic,3,1000
Agent-12,openai,competitive,3,1000
Agent-13,openai,cooperative,3,1000
Agent-14,openai,cooperative,3,1000
Agent-15,claude,cooperative,3,950
Agent-16,openai,competitive,3,1000
Agent-2,openai,strategic,3,1000
Agent-3,claude,neutral,3,1000
Agent-4,claude,cooperative,3,950
Agent-5,claude,competitive,3,1000
Agent-6,openai,neutral,3,1000
Agent-7,claude,neutral,3,950
Agent-8,claude,strategic,3,1000
Agent-9,claude,strategic,3,1150
Agent-1,openai,neutral,4,1050
Agent-10,claude,competitive,4,1000
Agent-11,openai,strategic,4,1000
Agent-12,openai,competitive,4,1000
Agent-13,openai,cooperative,4,1000
Agent-14,openai,cooperative,4,1000
Agent-15,claude,cooperative,4,900
Agent-16,openai,competitive,4,1000
Agent-2,openai,strategic,4,1000
Agent-3,claude,neutral,4,950
Agent-4,claude,cooperative,4,1000
Agent-5,claude,competitive,4,950
Agent-6,openai,neutral,4,1000
Agent-7,claude,neutral,4,925
Agent-8,claude,strategic,4,1050
Agent-9,claude,strategic,4,1175
Agent-1,openai,neutral,5,1050
Agent-10,claude,competitive,5,1000
Agent-11,openai,strategic,5,1000
Agent-12,openai,competitive,5,1000
Agent-13,openai,cooperative,5,1000
Agent-14,openai,cooperative,5,950
Agent-15,claude,cooperative,5,900
Agent-16,openai,competitive,5,1000
Agent-2,openai,strategic,5,1050
Agent-3,claude,neutral,5,950
