round,from_agent,from_model,from_priming,to_agent,to_model,to_priming,amount,success
3,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
3,Agent-7,claude,neutral,Agent-9,claude,strategic,50,1
3,Agent-15,claude,cooperative,Agent-9,claude,strategic,50,1
4,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
4,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
4,Agent-7,claude,neutral,Agent-9,claude,strategic,25,1
4,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
4,Agent-5,claude,competitive,Agent-9,claude,strategic,50,1
5,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
5,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
5,Agent-9,claude,strategic,Agent-5,claude,competitive,50,1
5,Agent-5,claude,competitive,Agent-9,claude,strategic,50,1
5,Agent-8,claude,strategic,Agent-15,claude,cooperative,50,1
5,Agent-1,openai,neutral,Agent-3,claude,neutral,50,1
5,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
5,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
5,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
6,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
6,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
6,Agent-1,openai,neutral,Agent-8,claude,strategic,50,1
6,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
6,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
6,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
6,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
6,Agent-8,claude,strategic,Agent-15,claude,cooperative,50,1
6,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
6,Agent-9,claude,strategic,Agent-5,claude,competitive,50,1
7,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
7,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
7,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
7,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
7,Agent-1,openai,neutral,Agent-8,claude,strategic,50,1
7,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
7,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
7,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
7,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
7,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
7,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
7,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
8,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
8,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
8,Agent-8,claude,strategic,Agent-6,openai,neutral,50,1
8,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
8,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
8,Agent-11,openai,strategic,Agent-8,claude,strategic,50,1
8,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
8,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
8,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
8,Agent-1,openai,neutral,Agent-8,claude,strategic,50,1
8,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
8,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
9,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
9,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
9,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
9,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
9,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
9,Agent-1,openai,neutral,Agent-8,claude,strategic,50,1
9,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
9,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
9,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
9,Agent-11,openai,strategic,Agent-8,claude,strategic,50,1
9,Agent-15,claude,cooperative,Agent-16,openai,competitive,50,1
9,Agent-13,openai,cooperative,Agent-11,openai,strategic,50,1
10,Agent-6,openai,neutral,Agent-16,openai,competitive,50,1
10,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
10,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
10,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
10,Agent-11,openai,strategic,Agent-13,openai,cooperative,50,1
10,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
10,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
10,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
10,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
10,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
10,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
10,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
10,Agent-13,openai,cooperative,Agent-6,openai,neutral,50,1
11,Agent-16,openai,competitive,Agent-15,claude,cooperative,50,1
11,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
11,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
11,Agent-6,openai,neutral,Agent-11,openai,strategic,50,1
11,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
11,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
11,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
11,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
11,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
11,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
11,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
11,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
11,Agent-13,openai,cooperative,Agent-8,claude,strategic,50,1
11,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
12,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
12,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
12,Agent-16,openai,competitive,Agent-15,claude,cooperative,50,1
12,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
12,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
12,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
12,Agent-6,openai,neutral,Agent-16,openai,competitive,50,1
12,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
12,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
12,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
12,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
12,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
12,Agent-8,claude,strategic,Agent-13,openai,cooperative,50,1
12,Agent-13,openai,cooperative,Agent-8,claude,strategic,50,1
12,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
13,Agent-12,openai,competitive,Agent-9,claude,strategic,50,1
13,Agent-1,openai,neutral,Agent-3,claude,neutral,50,1
13,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
13,Agent-16,openai,competitive,Agent-6,openai,neutral,50,1
13,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
13,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
13,Agent-11,openai,strategic,Agent-3,claude,neutral,50,1
13,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
13,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
13,Agent-8,claude,strategic,Agent-13,openai,cooperative,50,1
13,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
13,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
13,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
13,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
14,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
14,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
14,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
14,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
14,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
14,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
14,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
14,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
14,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
14,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
14,Agent-11,openai,strategic,Agent-3,claude,neutral,50,1
14,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
14,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
15,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
15,Agent-12,openai,competitive,Agent-9,claude,strategic,50,1
15,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
15,Agent-16,openai,competitive,Agent-15,claude,cooperative,50,1
15,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
15,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
15,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
15,Agent-6,openai,neutral,Agent-11,openai,strategic,50,1
15,Agent-2,openai,strategic,Agent-7,claude,neutral,50,1
15,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
15,Agent-1,openai,neutral,Agent-3,claude,neutral,50,1
15,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
15,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
15,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
15,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
16,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
16,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
16,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
16,Agent-1,openai,neutral,Agent-8,claude,strategic,50,1
16,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
16,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
16,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
16,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
16,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
16,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
16,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
16,Agent-16,openai,competitive,Agent-15,claude,cooperative,50,1
16,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
16,Agent-6,openai,neutral,Agent-11,openai,strategic,50,1
16,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
17,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
17,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
17,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
17,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
17,Agent-9,claude,strategic,Agent-10,claude,competitive,50,1
17,Agent-8,claude,strategic,Agent-1,openai,neutral,50,1
17,Agent-1,openai,neutral,Agent-9,claude,strategic,50,1
17,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
17,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
17,Agent-13,openai,cooperative,Agent-8,claude,strategic,50,1
17,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
17,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
17,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
17,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
18,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
18,Agent-8,claude,strategic,Agent-15,claude,cooperative,50,1
18,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
18,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
18,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
18,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
18,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
18,Agent-1,openai,neutral,Agent-9,claude,strategic,50,1
18,Agent-6,openai,neutral,Agent-11,openai,strategic,50,1
18,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
18,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
19,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
19,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
19,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
19,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
19,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
19,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
19,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
19,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
19,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
19,Agent-1,openai,neutral,Agent-3,claude,neutral,50,1
19,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
19,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
19,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
20,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
20,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
20,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
20,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
20,Agent-12,openai,competitive,Agent-9,claude,strategic,50,1
20,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
20,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
20,Agent-8,claude,strategic,Agent-6,openai,neutral,50,1
20,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
20,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
20,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
20,Agent-1,openai,neutral,Agent-3,claude,neutral,50,1
20,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
21,Agent-1,openai,neutral,Agent-9,claude,strategic,50,1
21,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
21,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
21,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
21,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
21,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
21,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
21,Agent-15,claude,cooperative,Agent-8,claude,strategic,50,1
21,Agent-8,claude,strategic,Agent-6,openai,neutral,50,1
21,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
21,Agent-11,openai,strategic,Agent-6,openai,neutral,50,1
21,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
21,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
22,Agent-1,openai,neutral,Agent-9,claude,strategic,50,1
22,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
22,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
22,Agent-8,claude,strategic,Agent-15,claude,cooperative,50,1
22,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
22,Agent-3,claude,neutral,Agent-1,openai,neutral,50,1
22,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
22,Agent-9,claude,strategic,Agent-4,claude,cooperative,50,1
22,Agent-11,openai,strategic,Agent-1,openai,neutral,50,1
22,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
22,Agent-14,openai,cooperative,Agent-8,claude,strategic,50,1
22,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
22,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
22,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
23,Agent-10,claude,competitive,Agent-15,claude,cooperative,50,1
23,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
23,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
23,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
23,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
23,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
23,Agent-11,openai,strategic,Agent-1,openai,neutral,50,1
23,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
23,Agent-6,openai,neutral,Agent-8,claude,strategic,50,1
23,Agent-4,claude,cooperative,Agent-14,openai,cooperative,50,1
23,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
23,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
23,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
24,Agent-8,claude,strategic,Agent-11,openai,strategic,50,1
24,Agent-5,claude,competitive,Agent-16,openai,competitive,50,1
24,Agent-9,claude,strategic,Agent-12,openai,competitive,50,1
24,Agent-4,claude,cooperative,Agent-9,claude,strategic,50,1
24,Agent-3,claude,neutral,Agent-13,openai,cooperative,50,1
24,Agent-7,claude,neutral,Agent-2,openai,strategic,50,1
24,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
24,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
24,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
24,Agent-15,claude,cooperative,Agent-10,claude,competitive,50,1
24,Agent-6,openai,neutral,Agent-10,claude,competitive,50,1
24,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
24,Agent-10,claude,competitive,Agent-9,claude,strategic,50,1
24,Agent-11,openai,strategic,Agent-1,openai,neutral,50,1
24,Agent-16,openai,competitive,Agent-5,claude,competitive,50,1
25,Agent-10,claude,competitive,Agent-6,openai,neutral,50,1
25,Agent-12,openai,competitive,Agent-5,claude,competitive,50,1
25,Agent-5,claude,competitive,Agent-12,openai,competitive,50,1
25,Agent-13,openai,cooperative,Agent-3,claude,neutral,50,1
25,Agent-2,openai,strategic,Agent-3,claude,neutral,50,1
25,Agent-3,claude,neutral,Agent-2,openai,strategic,50,1
25,Agent-14,openai,cooperative,Agent-4,claude,cooperative,50,1
